Country,Year,Beginning Stocks,Arabica Production,Robusta Production,Other Production,Production,Bean Imports,Roast & Ground Imports,Soluble Imports,Imports,Total Supply,Bean Exports,Roast & Ground Exports,Soluble Exports,Exports,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Domestic Consumption,Ending Stocks,Total Distribution
Papua New Guinea,1998,318,1299,52,0,1351,0,0,10,10,1679,1341,1,0,1342,1,0,1,336,1679
Paraguay,1998,103,66,0,0,66,0,0,0,0,169,40,0,2,42,20,0,20,107,169
Peru,1998,98,1980,0,0,1980,0,0,30,30,2108,1820,0,0,1820,50,150,200,88,2108
Philippines,1998,39,34,616,34,684,232,1,44,277,1000,5,0,5,10,65,900,965,25,1000
Russia,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,1998,87,222,0,0,222,0,0,0,0,309,219,0,0,219,3,0,3,87,309
Saudi Arabia,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1998,13,0,27,0,27,0,0,0,0,40,22,0,0,22,5,0,5,13,40
Singapore,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1998,18,10,36,0,46,0,0,0,0,64,27,0,0,27,30,0,30,7,64
Switzerland,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,1998,222,493,246,0,739,0,0,0,0,961,715,0,10,725,13,4,17,219,961
Thailand,1998,180,10,906,0,916,0,0,0,0,1096,407,0,10,417,433,0,433,246,1096
Togo,1998,74,0,321,0,321,0,0,0,0,395,310,0,0,310,2,0,2,83,395
Trinidad and Tobago,1998,0,1,16,0,17,0,0,0,0,17,0,1,3,4,13,0,13,0,17
Turkey,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1998,139,436,3204,0,3640,0,0,0,0,3779,3648,0,0,3648,60,0,60,71,3779
Ukraine,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1998,0,163,0,0,163,0,0,0,0,163,0,0,0,0,163,0,163,0,163
Uruguay,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,1998,145,1250,0,0,1250,80,0,0,80,1475,515,30,5,550,845,10,855,70,1475
Vietnam,1998,500,67,7433,0,7500,0,0,0,0,8000,6667,0,0,6667,300,0,300,1033,8000
Yemen,1998,0,188,0,0,188,0,0,0,0,188,57,11,0,68,120,0,120,0,188
Yemen (Sanaa),1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,1998,0,62,0,0,62,0,0,0,0,62,61,0,0,61,1,0,1,0,62
Zimbabwe,1998,27,149,0,0,149,0,0,0,0,176,135,0,0,135,4,0,4,37,176
Albania,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1999,10,0,55,0,55,0,0,0,0,65,40,0,0,40,20,0,20,5,65
Argentina,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,1999,175,184,0,0,184,0,0,0,0,359,123,0,0,123,60,0,60,176,359
Bosnia and Herzegovina,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1999,11470,25800,5000,0,30800,0,0,0,0,42270,18140,14,2010,20164,12300,500,12800,9306,42270
Burundi,1999,241,504,3,0,507,0,0,0,0,748,438,0,0,438,2,0,2,308,748
Cameroon,1999,69,104,1266,0,1370,0,0,0,0,1439,1272,0,0,1272,95,5,100,67,1439
Canada,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,1999,230,0,241,0,241,0,0,0,0,471,188,0,0,188,21,0,21,262,471
Chile,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,1999,3154,9512,0,0,9512,0,16,0,16,12682,8400,110,550,9060,1290,240,1530,2092,12682
Congo (Brazzaville),1999,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,3
Congo (Kinshasa),1999,288,44,433,0,477,0,0,0,0,765,353,0,0,353,200,0,200,212,765
Costa Rica,1999,1251,2688,0,0,2688,0,0,0,0,3939,2174,0,0,2174,336,5,341,1424,3939
Cote d'Ivoire,1999,1504,0,5700,0,5700,0,0,0,0,7204,5354,3,440,5797,29,31,60,1347,7204
Croatia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1999,237,328,0,0,328,0,0,0,0,565,118,0,0,118,200,0,200,247,565
Dominican Republic,1999,190,694,0,0,694,0,0,0,0,884,146,53,0,199,325,0,325,360,884
Ecuador,1999,31,712,583,0,1295,0,0,0,0,1326,680,5,305,990,256,60,316,20,1326
Egypt,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,1999,30,2612,0,0,2612,25,0,0,25,2667,2487,1,7,2495,145,22,167,5,2667
Equatorial Guinea,1999,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
Ethiopia,1999,1311,3505,0,0,3505,0,0,0,0,4816,2005,0,0,2005,1633,0,1633,1178,4816
European Union,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1999,1,0,2,0,2,0,0,0,0,3,0,0,0,0,1,0,1,2,3
Georgia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,1999,0,0,89,0,89,0,0,0,0,89,80,0,0,80,1,0,1,8,89
Guatemala,1999,45,4337,27,0,4364,275,0,0,275,4684,4234,0,0,4234,375,25,400,50,4684
Guinea,1999,79,0,382,0,382,0,0,0,0,461,298,0,0,298,50,0,50,113,461
Guyana,1999,0,2,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,2
Haiti,1999,172,399,0,0,399,0,0,0,0,571,62,0,0,62,340,0,340,169,571
Honduras,1999,109,3067,0,0,3067,0,0,0,0,3176,2825,0,0,2825,264,0,264,87,3176
India,1999,200,1985,2885,0,4870,0,0,0,0,5070,3570,0,680,4250,700,100,800,20,5070
Indonesia,1999,486,460,6200,0,6660,150,3,0,153,7299,5625,32,0,5657,1320,35,1355,287,7299
Iran,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,1999,27,39,0,0,39,0,0,0,0,66,30,0,0,30,11,0,11,25,66
Japan,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,1999,130,1683,2,0,1685,0,0,3,3,1818,1195,0,0,1195,20,3,23,600,1818
"Korea, South",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,1999,0,0,292,0,292,0,0,0,0,292,283,0,0,283,9,0,9,0,292
Liberia,1999,0,0,12,0,12,0,0,0,0,12,7,0,0,7,5,0,5,0,12
Madagascar,1999,301,33,394,0,427,0,0,0,0,728,404,0,0,404,56,0,56,268,728
Malawi,1999,4,59,0,0,59,0,0,0,0,63,52,0,0,52,1,0,1,10,63
Malaysia,1999,0,0,250,0,250,355,17,117,489,739,8,4,645,657,82,0,82,0,739
Mexico,1999,0,5993,200,0,6193,0,0,0,0,6193,4938,20,180,5138,500,555,1055,0,6193
Montenegro,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,1999,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
New Zealand,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,1999,205,1514,0,0,1514,0,0,0,0,1719,1250,0,30,1280,140,15,155,284,1719
Nigeria,1999,23,0,46,0,46,2,0,40,42,111,6,0,0,6,40,40,80,25,111
North Macedonia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1999,3,167,0,0,167,0,0,0,0,170,78,0,0,78,67,0,67,25,170
Papua New Guinea,1999,336,1326,61,0,1387,0,0,10,10,1733,1327,1,0,1328,1,1,2,403,1733
Paraguay,1999,107,20,0,0,20,0,0,0,0,127,3,0,0,3,20,0,20,104,127
Peru,1999,88,2571,0,0,2571,0,0,40,40,2699,2380,0,0,2380,60,170,230,89,2699
Philippines,1999,25,35,675,30,740,147,2,31,180,945,4,0,0,4,65,800,865,76,945
Russia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,1999,87,308,0,0,308,0,0,0,0,395,307,0,0,307,2,0,2,86,395
Saudi Arabia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1999,13,0,59,0,59,0,0,0,0,72,47,0,0,47,5,0,5,20,72
Singapore,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1999,7,10,31,0,41,0,0,0,0,48,4,0,0,4,30,0,30,14,48
Switzerland,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,1999,219,623,219,0,842,0,0,0,0,1061,749,0,10,759,10,4,14,288,1061
Thailand,1999,246,0,1273,0,1273,0,0,0,0,1519,952,0,10,962,433,0,433,124,1519
Togo,1999,83,0,263,0,263,0,0,0,0,346,279,0,0,279,2,0,2,65,346
Trinidad and Tobago,1999,0,1,15,0,16,0,0,0,0,16,0,1,1,2,14,0,14,0,16
Turkey,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1999,71,436,3272,0,3708,0,0,0,0,3779,3648,0,0,3648,60,0,60,71,3779
Ukraine,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1999,0,185,0,0,185,0,0,0,0,185,0,0,0,0,185,0,185,0,185
Uruguay,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,1999,70,880,0,0,880,30,40,0,70,1020,81,30,5,116,695,15,710,194,1020
Vietnam,1999,1033,90,10920,0,11010,0,0,0,0,12043,11433,0,0,11433,350,0,350,260,12043
Yemen,1999,0,186,0,0,186,0,0,0,0,186,44,14,0,58,128,0,128,0,186
Yemen (Sanaa),1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,1999,0,59,0,0,59,0,0,0,0,59,58,0,0,58,1,0,1,0,59
Zimbabwe,1999,37,125,0,0,125,0,0,0,0,162,121,0,0,121,4,0,4,37,162
Albania,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2000,5,0,50,0,50,0,0,0,0,55,20,0,0,20,20,0,20,15,55
Argentina,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2000,176,173,0,0,173,0,0,0,0,349,113,0,0,113,60,0,60,176,349
Bosnia and Herzegovina,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2000,9306,26600,7500,0,34100,0,0,0,0,43406,17290,21,2365,19676,12600,500,13100,10630,43406
Burundi,2000,308,446,0,0,446,0,0,0,0,754,407,0,0,407,2,0,2,345,754
Cameroon,2000,67,149,964,0,1113,0,0,0,0,1180,1145,0,0,1145,10,5,15,20,1180
Canada,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,2000,262,0,122,0,122,0,0,0,0,384,104,0,0,104,12,0,12,268,384
Chile,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2000,2092,10500,0,0,10500,0,16,0,16,12608,8780,130,550,9460,1290,240,1530,1618,12608
Congo (Brazzaville),2000,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,3
Congo (Kinshasa),2000,212,73,289,0,362,0,0,0,0,574,151,0,0,151,200,0,200,223,574
Costa Rica,2000,1424,2502,0,0,2502,0,0,0,0,3926,2581,0,0,2581,340,5,345,1000,3926
Cote d'Ivoire,2000,1347,0,5100,0,5100,0,0,0,0,6447,3660,3,382,4045,30,32,62,2340,6447
Croatia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2000,247,313,0,0,313,0,0,0,0,560,96,0,0,96,213,0,213,251,560
Dominican Republic,2000,360,439,0,0,439,0,0,0,0,799,122,0,0,122,327,0,327,350,799
Ecuador,2000,20,555,450,0,1005,0,0,0,0,1025,346,5,350,701,250,60,310,14,1025
Egypt,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,2000,5,1624,0,0,1624,25,0,0,25,1654,1493,1,7,1501,131,20,151,2,1654
Equatorial Guinea,2000,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
Ethiopia,2000,1178,2768,0,0,2768,0,0,0,0,3946,1418,0,0,1418,1667,0,1667,861,3946
European Union,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,2000,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2
Georgia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2000,8,0,76,0,76,0,0,0,0,84,72,0,0,72,1,0,1,11,84
Guatemala,2000,50,4537,27,0,4564,300,0,0,300,4914,4414,0,0,4414,400,25,425,75,4914
Guinea,2000,113,0,368,0,368,0,0,0,0,481,318,0,0,318,50,0,50,113,481
Guyana,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2000,169,420,0,0,420,0,0,0,0,589,83,0,0,83,340,0,340,166,589
Honduras,2000,87,2821,0,0,2821,0,0,0,0,2908,2470,0,0,2470,271,0,271,167,2908
India,2000,20,1740,3280,0,5020,10,0,0,10,5050,3000,0,770,3770,819,140,959,321,5050
Indonesia,2000,287,455,6040,0,6495,165,10,0,175,6957,5494,42,0,5536,1300,35,1335,86,6957
Iran,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,2000,25,37,0,0,37,0,0,0,0,62,29,0,0,29,12,0,12,21,62
Japan,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,2000,600,862,2,0,864,0,0,3,3,1467,1207,0,0,1207,20,3,23,237,1467
"Korea, South",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,2000,0,0,392,0,392,0,0,0,0,392,299,0,0,299,93,0,93,0,392
Liberia,2000,0,0,14,0,14,0,0,0,0,14,9,0,0,9,5,0,5,0,14
Madagascar,2000,268,21,345,0,366,0,0,0,0,634,201,0,0,201,90,0,90,343,634
Malawi,2000,10,63,0,0,63,0,0,0,0,73,68,0,0,68,2,0,2,3,73
Malaysia,2000,0,0,700,0,700,363,23,205,591,1291,8,13,1205,1226,65,0,65,0,1291
Mexico,2000,0,4600,200,0,4800,0,0,0,0,4800,3622,20,180,3822,428,550,978,0,4800
Montenegro,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,2000,284,1610,0,0,1610,0,0,0,0,1894,1415,0,30,1445,176,15,191,258,1894
Nigeria,2000,25,0,48,0,48,5,0,2,7,80,8,0,0,8,40,2,42,30,80
North Macedonia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,2000,25,170,0,0,170,0,0,0,0,195,70,0,0,70,67,0,67,58,195
Papua New Guinea,2000,403,988,53,0,1041,0,0,0,0,1444,1050,1,0,1051,1,1,2,391,1444
Paraguay,2000,104,46,0,0,46,0,0,0,0,150,5,0,0,5,20,0,20,125,150
Peru,2000,89,2824,0,0,2824,0,0,35,35,2948,2664,0,0,2664,60,204,264,20,2948
Philippines,2000,76,40,670,35,745,191,6,29,226,1047,2,0,1,3,75,825,900,144,1047
Russia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,2000,86,273,0,0,273,0,0,0,0,359,272,0,0,272,2,0,2,85,359
Saudi Arabia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,2000,20,0,53,0,53,0,0,0,0,73,38,0,0,38,5,0,5,30,73
Singapore,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,2000,14,10,33,0,43,0,0,0,0,57,3,0,0,3,30,0,30,24,57
Switzerland,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,2000,288,628,181,0,809,0,0,0,0,1097,806,0,10,816,11,4,15,266,1097
Thailand,2000,124,0,1692,0,1692,0,0,0,0,1816,1174,0,10,1184,500,0,500,132,1816
Togo,2000,65,0,197,0,197,0,0,0,0,262,195,0,0,195,2,0,2,65,262
Trinidad and Tobago,2000,0,1,13,0,14,0,0,0,0,14,0,0,0,0,14,0,14,0,14
Turkey,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,2000,71,355,2742,0,3097,0,0,0,0,3168,2917,0,0,2917,120,0,120,131,3168
Ukraine,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2000,0,183,0,0,183,0,0,0,0,183,0,0,0,0,183,0,183,0,183
Uruguay,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2000,194,1027,0,0,1027,60,40,0,100,1321,144,30,5,179,720,15,735,407,1321
Vietnam,2000,260,117,15216,0,15333,0,0,0,0,15593,14667,0,0,14667,417,0,417,509,15593
Yemen,2000,0,189,0,0,189,0,0,0,0,189,44,22,0,66,123,0,123,0,189
Yemen (Sanaa),2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,2000,0,94,0,0,94,0,0,0,0,94,93,0,0,93,1,0,1,0,94
Zimbabwe,2000,37,109,0,0,109,0,0,0,0,146,105,0,0,105,4,0,4,37,146
Albania,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2001,15,0,21,0,21,0,0,0,0,36,11,0,0,11,20,0,20,5,36
Argentina,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2001,176,118,0,0,118,0,0,0,0,294,64,0,0,64,60,0,60,170,294
Bosnia and Herzegovina,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2001,10630,24400,10700,0,35100,0,0,0,0,45730,22245,75,2475,24795,13000,700,13700,7235,45730
Burundi,2001,345,261,0,0,261,0,0,0,0,606,217,0,0,217,2,0,2,387,606
Cameroon,2001,20,75,611,0,686,0,0,0,0,706,617,0,0,617,64,5,69,20,706
Canada,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,2001,268,0,75,0,75,0,0,0,0,343,100,0,0,100,10,0,10,233,343
Chile,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2001,1618,11950,0,0,11950,0,80,0,80,13648,10005,120,540,10665,1350,240,1590,1393,13648
Congo (Brazzaville),2001,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,3
Congo (Kinshasa),2001,223,88,332,0,420,0,0,0,0,643,162,0,0,162,198,0,198,283,643
Costa Rica,2001,1000,2338,0,0,2338,0,0,0,0,3338,2488,0,0,2488,345,5,350,500,3338
Cote d'Ivoire,2001,2340,0,3568,0,3568,0,0,0,0,5908,2615,3,440,3058,31,33,64,2786,5908
Croatia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2001,251,285,0,0,285,0,0,0,0,536,92,0,0,92,220,0,220,224,536
Dominican Republic,2001,350,435,0,0,435,0,0,0,0,785,82,5,0,87,343,0,343,355,785
Ecuador,2001,14,505,405,0,910,108,0,0,108,1032,366,6,341,713,250,60,310,9,1032
Egypt,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,2001,2,1610,0,0,1610,28,15,27,70,1682,1527,1,8,1536,117,27,144,2,1682
Equatorial Guinea,2001,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
Ethiopia,2001,861,3756,0,0,3756,0,0,0,0,4617,1939,0,0,1939,1833,0,1833,845,4617
European Union,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,2001,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Georgia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2001,11,0,13,0,13,0,0,0,0,24,12,0,0,12,1,0,1,11,24
Guatemala,2001,75,3503,27,0,3530,150,0,0,150,3755,3330,0,0,3330,400,20,420,5,3755
Guinea,2001,113,0,236,0,236,0,0,0,0,349,183,0,0,183,50,0,50,116,349
Guyana,2001,0,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,3
Haiti,2001,166,403,0,0,403,0,0,0,0,569,63,0,0,63,340,0,340,166,569
Honduras,2001,167,3098,0,0,3098,0,0,0,0,3265,2617,0,0,2617,386,0,386,262,3265
India,2001,321,2350,2660,0,5010,50,0,0,50,5381,2685,0,760,3445,840,160,1000,936,5381
Indonesia,2001,86,495,5665,0,6160,129,7,0,136,6382,4700,29,0,4729,1430,35,1465,188,6382
Iran,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,2001,21,31,0,0,31,0,0,0,0,52,28,0,0,28,11,0,11,13,52
Japan,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,2001,237,867,2,0,869,0,0,3,3,1109,832,0,0,832,20,3,23,254,1109
"Korea, South",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,2001,0,0,430,0,430,0,0,0,0,430,278,0,0,278,152,0,152,0,430
Liberia,2001,0,0,12,0,12,0,0,0,0,12,7,0,0,7,5,0,5,0,12
Madagascar,2001,343,9,138,0,147,0,0,0,0,490,74,0,0,74,128,0,128,288,490
Malawi,2001,3,60,0,0,60,0,0,0,0,63,59,0,0,59,1,0,1,3,63
Malaysia,2001,0,0,800,0,800,463,16,246,725,1525,5,27,1422,1454,71,0,71,0,1525
Mexico,2001,0,4000,200,0,4200,0,0,0,0,4200,3000,20,180,3200,500,500,1000,0,4200
Montenegro,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,2001,258,895,0,0,895,50,0,20,70,1223,887,0,30,917,186,20,206,100,1223
Nigeria,2001,30,0,44,0,44,3,1,39,43,117,4,0,0,4,40,39,79,34,117
North Macedonia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,2001,58,160,0,0,160,0,0,0,0,218,78,0,0,78,67,0,67,73,218
Papua New Guinea,2001,391,1009,54,0,1063,0,0,0,0,1454,1072,1,0,1073,2,1,3,378,1454
Paraguay,2001,125,20,0,0,20,0,0,0,0,145,2,0,0,2,35,0,35,108,145
Peru,2001,20,2550,0,0,2550,0,0,0,0,2570,2360,0,0,2360,60,130,190,20,2570
Philippines,2001,144,40,665,30,735,200,2,90,292,1171,3,0,3,6,85,865,950,215,1171
